"","month","year","damagecause","county","state","commodity","count"
"336","AUG",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"337","DEC",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"338","FEB",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"339","JAN",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"340","JUL",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"341","NOV",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"342","OCT",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"343","DEC",2001,"Drought","Grant","WA","ADJUSTED GROSS REVENUE",1
"344","JUL",2010,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",1
"345","MAY",2010,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",1
"346","MAY",2013,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",1
"347","OCT",2014,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",1
"348","JUL",2014,"Fire","Grant","WA","ADJUSTED GROSS REVENUE",1
"349","APR",2003,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",1
"350","OCT",2010,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",1
"351","MAR",2011,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",1
"352","SEP",2011,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",1
"353","MAY",2002,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"354","APR",2003,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"356","APR",2006,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"357","NOV",2007,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"358","APR",2008,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"359","MAR",2008,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"360","APR",2009,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"361","OCT",2009,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"362","JUL",2010,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1
"363","JUN",2001,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"366","JUN",2006,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"367","JUN",2009,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"368","JUL",2012,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"369","JUN",2012,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"370","MAY",2013,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"371","MAY",2014,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",1
"372","JUL",2002,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"373","AUG",2003,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"375","JUL",2007,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"376","OCT",2009,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"377","APR",2010,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"378","JUL",2010,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"379","FEB",2013,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1
"381","JUN",2012,"Hot Wind","Grant","WA","ADJUSTED GROSS REVENUE",1
"384","APR",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"385","DEC",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"386","JUN",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"387","MAR",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"388","APR",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"389","FEB",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"390","OCT",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",1
"392","APR",2006,"Wildlife","Grant","WA","ADJUSTED GROSS REVENUE",1
"393","SEP",2002,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",1
"394","APR",2010,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",1
"395","MAY",2010,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",1
"396","JUN",2012,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",1
"504","MAR",2002,"Drought","Walla Walla","WA","ADJUSTED GROSS REVENUE",1
"505","JAN",2006,"Excess Moisture/Precip/Rain","Walla Walla","WA","ADJUSTED GROSS REVENUE",1
"690","JUN",2006,"Excess Moisture/Precip/Rain","Umatilla","OR","ADJUSTED GROSS REVENUE-LITE",1
"691","JAN",2010,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"692","APR",2011,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"693","NOV",2011,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"694","JUN",2014,"Decline in Price","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"695","JAN",2010,"Excess Moisture/Precip/Rain","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"696","MAR",2011,"Freeze","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"697","JUL",2009,"Other Causes","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",1
"707","OCT",2007,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"708","MAR",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"709","MAY",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"710","MAY",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"711","DEC",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"712","JUN",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"713","APR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"714","MAR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"715","APR",2008,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"716","MAY",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"717","OCT",2013,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"718","APR",2008,"Frost","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"719","JUN",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"720","MAY",2010,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1
"768","JUN",2009,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"769","APR",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"770","JUN",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"771","MAY",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"772","JUN",2011,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"773","JUN",2014,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"774","NOV",2010,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"775","FEB",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"776","JAN",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"777","JUL",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"778","MAR",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"779","OCT",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"780","MAY",2010,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"781","SEP",2013,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"782","APR",2007,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"783","JUL",2011,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"784","JUN",2011,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"785","JUL",2013,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"786","JUN",2013,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"787","MAY",2010,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"788","JUN",2011,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"789","APR",2013,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"790","JUL",2012,"Hail","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"791","MAY",2010,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"792","OCT",2014,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"793","JUL",2009,"Other (Snow-Lightning-Etc.)","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"794","MAR",2008,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"795","JUL",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"796","NOV",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"797","SEP",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
"798","JUN",2010,"Wind/Excess Wind","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",1
