"","month","year","damagecause","county","state","commodity","loss","count","meanloss","acres","lossperacres"
"24","AUG",2010,"Wind/Excess Wind","Grant","WA","ALFALFA SEED",6692,1,6692,150,44.6133
"25","MAY",2015,"Cold Winter","Walla Walla","WA","ALFALFA SEED",176976,1,176976,197.9,894.2698
"26","MAR",2007,"Freeze","Walla Walla","WA","ALFALFA SEED",20312.4,2,10156.2,33.24,611.083
"27","MAY",2007,"Heat","Walla Walla","WA","ALFALFA SEED",13541.6,2,6770.8,22.16,611.083
"28","MAY",2008,"Heat","Walla Walla","WA","ALFALFA SEED",13817,1,13817,55.4,249.4043
"29","JUL",2015,"Heat","Walla Walla","WA","ALFALFA SEED",94083,1,94083,240.12,391.8166
"30","JUN",2015,"Heat","Walla Walla","WA","ALFALFA SEED",12888,1,12888,32,402.75
"31","AUG",2015,"Wind/Excess Wind","Walla Walla","WA","ALFALFA SEED",62722,1,62722,160.08,391.8166
"32","MAR",2004,"Cold Wet Weather","Ada","ID","All Other Crops",34113.05,1,34113.05,167.62,203.5142
"33","MAY",2004,"Cold Wet Weather","Ada","ID","All Other Crops",62822.25,2,31411.125,147.4,426.2025
"34","JAN",2013,"Cold Winter","Ada","ID","All Other Crops",24511,2,12255.5,25.2,972.6587
"35","SEP",2001,"Drought","Ada","ID","All Other Crops",153,1,153,17,9
"36","JUN",2002,"Drought","Ada","ID","All Other Crops",465.75,1,465.75,12.75,36.5294
"37","AUG",2003,"Drought","Ada","ID","All Other Crops",654,1,654,22.275,29.3603
"38","MAY",2004,"Excess Moisture/Precip/Rain","Ada","ID","All Other Crops",6019.95,1,6019.95,29.58,203.5142
"39","APR",2008,"Excess Moisture/Precip/Rain","Ada","ID","All Other Crops",177,1,177,8.6,20.5814
"40","APR",2001,"Freeze","Ada","ID","All Other Crops",4500,1,4500,125,36
"41","APR",2002,"Freeze","Ada","ID","All Other Crops",5511,1,5511,275,20.04
"42","MAY",2002,"Freeze","Ada","ID","All Other Crops",2911,1,2911,132,22.053
"43","OCT",2002,"Freeze","Ada","ID","All Other Crops",176012,1,176012,156.2,1126.8374
"44","APR",2003,"Freeze","Ada","ID","All Other Crops",6068,1,6068,267.6,22.6756
"45","MAY",2009,"Freeze","Ada","ID","All Other Crops",5046,1,5046,9,560.6667
"46","AUG",2010,"Freeze","Ada","ID","All Other Crops",12006,1,12006,67.1,178.927
"47","MAY",2002,"Frost","Ada","ID","All Other Crops",15015,1,15015,132,113.75
"48","FEB",2003,"Frost","Ada","ID","All Other Crops",10049,1,10049,261,38.5019
"49","FEB",2012,"Frost","Ada","ID","All Other Crops",2683.96,1,2683.96,4.488,598.0303
"50","AUG",2001,"Heat","Ada","ID","All Other Crops",5249,1,5249,105.2,49.8954
"51","JUN",2002,"Heat","Ada","ID","All Other Crops",12824.25,2,6412.125,84.25,152.2166
"52","AUG",2003,"Heat","Ada","ID","All Other Crops",1500,1,1500,51.5,29.1262
"53","JUL",2003,"Heat","Ada","ID","All Other Crops",40499,1,40499,147.7,274.1977
"54","JUL",2004,"Heat","Ada","ID","All Other Crops",16805.75,2,8402.875,30.4,552.8207
"55","MAY",2007,"Heat","Ada","ID","All Other Crops",1130,1,1130,25,45.2
"56","JUL",2012,"Heat","Ada","ID","All Other Crops",2605.02,1,2605.02,4.356,598.0303
"57","AUG",2003,"Hot Wind","Ada","ID","All Other Crops",521,1,521,17.925,29.0656
"58","JUL",2004,"Hot Wind","Ada","ID","All Other Crops",76349,1,76349,120,636.2417
"59","JUL",2012,"Hot Wind","Ada","ID","All Other Crops",2605.02,1,2605.02,4.356,598.0303
"60","APR",2001,"Wind/Excess Wind","Ada","ID","All Other Crops",3330,1,3330,92.5,36
"61","MAY",2001,"Wind/Excess Wind","Ada","ID","All Other Crops",1800,1,1800,50,36
"62","JUL",2003,"Wind/Excess Wind","Ada","ID","All Other Crops",718,1,718,13,55.2308
"63","APR",2004,"Wind/Excess Wind","Ada","ID","All Other Crops",1365,1,1365,35,39
"64","MAR",2004,"Wind/Excess Wind","Ada","ID","All Other Crops",2551,1,2551,65.4,39.0061
"65","NOV",2009,"Area Plan Crops Only","Bannock","ID","All Other Crops",2284,1,2284,600,3.8067
"66","JUL",2001,"Drought","Bannock","ID","All Other Crops",644,1,644,83.9,7.6758
"67","OCT",2008,"Area Plan Crops Only","Bear Lake","ID","All Other Crops",8102,1,8102,2468,3.2828
"68","JAN",2012,"Area Plan Crops Only","Bear Lake","ID","All Other Crops",7459,1,7459,2468,3.0223
"69","SEP",2015,"Decline in Price","Bear Lake","ID","All Other Crops",45276,1,45276,488.775,92.6316
"70","SEP",2014,"Excess Moisture/Precip/Rain","Bear Lake","ID","All Other Crops",1189,1,1189,52.6,22.6046
"71","JUL",2015,"Frost","Bear Lake","ID","All Other Crops",47124,1,47124,508.725,92.6316
"72","JUN",2014,"Heat","Bear Lake","ID","All Other Crops",9815,2,4907.5,164.1,59.8111
"73","JUL",2003,"Drought","Benewah","ID","All Other Crops",31,1,31,19.94,1.5547
"74","JUL",2007,"Drought","Benewah","ID","All Other Crops",158,1,158,9.07,17.4201
"75","JUL",2015,"Drought","Benewah","ID","All Other Crops",1123.2,1,1123.2,8.52,131.831
"76","JUN",2015,"Drought","Benewah","ID","All Other Crops",1684.8,1,1684.8,12.78,131.831
"77","AUG",2005,"Excess Moisture/Precip/Rain","Benewah","ID","All Other Crops",2832,1,2832,160.32,17.6647
"78","MAY",2005,"Excess Moisture/Precip/Rain","Benewah","ID","All Other Crops",1745,1,1745,218.04,8.0031
"79","MAY",2011,"Excess Moisture/Precip/Rain","Benewah","ID","All Other Crops",145,1,145,1.42,102.1127
"80","AUG",2008,"Insects","Benewah","ID","All Other Crops",1178,1,1178,132.39,8.898
"81","JUL",2010,"Area Plan Crops Only","Bingham","ID","All Other Crops",4197,1,4197,192,21.8594
"82","JUL",2011,"Area Plan Crops Only","Bingham","ID","All Other Crops",7769,1,7769,240,32.3708
"83","OCT",2012,"Area Plan Crops Only","Bingham","ID","All Other Crops",6786,1,6786,168,40.3929
"84","OCT",2013,"Area Plan Crops Only","Bingham","ID","All Other Crops",10286,1,10286,264,38.9621
"85","JUL",2003,"Drought","Bingham","ID","All Other Crops",2220,1,2220,145.7,15.2368
"86","JUN",2007,"Drought","Bingham","ID","All Other Crops",98.8,1,98.8,4,24.7
"87","JUN",2008,"Drought","Bingham","ID","All Other Crops",396,1,396,10.992,36.0262
"88","MAY",2007,"Frost","Bingham","ID","All Other Crops",148.2,1,148.2,6,24.7
"89","JUN",2008,"Frost","Bingham","ID","All Other Crops",99,1,99,2.748,36.0262
"90","JUL",2002,"Heat","Bingham","ID","All Other Crops",3316,1,3316,34,97.5294
"91","JUL",2006,"Heat","Bingham","ID","All Other Crops",11391,1,11391,93,122.4839
"92","JUL",2007,"Heat","Bingham","ID","All Other Crops",15123,1,15123,49,308.6327
"93","JUN",2007,"Heat","Bingham","ID","All Other Crops",15123,1,15123,49,308.6327
"94","SEP",2013,"Decline in Price","Blaine","ID","All Other Crops",26941,1,26941,232.2,116.025
"95","SEP",2015,"Decline in Price","Blaine","ID","All Other Crops",6183.9,1,6183.9,131.94,46.869
"96","JUL",2001,"Drought","Blaine","ID","All Other Crops",2434,1,2434,90,27.0444
"97","JUN",2012,"Drought","Blaine","ID","All Other Crops",14458,1,14458,106,136.3962
"98","JUL",2013,"Drought","Blaine","ID","All Other Crops",26273,2,13136.5,401.5,65.4371
"99","JUL",2015,"Drought","Blaine","ID","All Other Crops",28462,1,28462,316,90.0696
"100","MAR",2002,"Failure Irrig Supply","Blaine","ID","All Other Crops",11722,1,11722,59.2,198.0068
"101","FEB",2013,"Failure Irrig Supply","Blaine","ID","All Other Crops",45364,1,45364,133.6,339.5509
"102","JUN",2015,"Failure Irrig Supply","Blaine","ID","All Other Crops",64723,1,64723,1299.2,49.8176
"103","APR",2002,"Freeze","Blaine","ID","All Other Crops",5185,1,5185,195,26.5897
"104","MAY",2002,"Freeze","Blaine","ID","All Other Crops",14131,1,14131,591.4,23.8941
"105","MAY",2012,"Freeze","Blaine","ID","All Other Crops",764.28,1,764.28,8.514,89.7674
"106","APR",2013,"Freeze","Blaine","ID","All Other Crops",50081.75,1,50081.75,626.02,80.0002
"107","APR",2015,"Frost","Blaine","ID","All Other Crops",6080,1,6080,76,80
"108","JUL",2013,"Hail","Blaine","ID","All Other Crops",14079,1,14079,451,31.2173
"109","JUN",2013,"Hail","Blaine","ID","All Other Crops",60812.5,1,60812.5,1292.53,47.0492
"110","AUG",2002,"Heat","Blaine","ID","All Other Crops",122925,1,122925,553.6,222.0466
"111","JUL",2002,"Heat","Blaine","ID","All Other Crops",15625,2,7812.5,95.3,163.9559
"112","JUL",2006,"Heat","Blaine","ID","All Other Crops",28592,2,14296,256.7,111.3829
"113","JUN",2006,"Heat","Blaine","ID","All Other Crops",1333,1,1333,34.8,38.3046
"114","JUL",2015,"Heat","Blaine","ID","All Other Crops",64723,1,64723,1299.2,49.8176
"115","JUN",2015,"Heat","Blaine","ID","All Other Crops",687.1,1,687.1,14.66,46.869
"116","APR",2013,"Other Causes","Blaine","ID","All Other Crops",5627.25,1,5627.25,70.34,80.0007
"117","MAY",2001,"Wind/Excess Wind","Blaine","ID","All Other Crops",3240,1,3240,90,36
"118","MAY",2012,"Wind/Excess Wind","Blaine","ID","All Other Crops",1551.72,1,1551.72,17.286,89.7674
"119","MAY",2013,"Wind/Excess Wind","Blaine","ID","All Other Crops",23891.5,1,23891.5,696.67,34.2939
"120","JUL",2015,"Drought","Bonner","ID","All Other Crops",33915.5,2,16957.75,186.25,182.0966
"121","JUN",2015,"Drought","Bonner","ID","All Other Crops",12694.25,2,6347.125,96.375,131.7173
"122","AUG",2014,"Excess Moisture/Precip/Rain","Bonner","ID","All Other Crops",14609,1,14609,197.9,73.8201
"123","DEC",2015,"Freeze","Bonner","ID","All Other Crops",2508.75,2,1254.375,7.525,333.3887
"124","AUG",2015,"Hail","Bonner","ID","All Other Crops",2815.5,1,2815.5,19.45,144.7558
"125","JUL",2002,"Drought","Bonneville","ID","All Other Crops",3943,2,1971.5,192.5,20.4831
"126","JUL",2003,"Drought","Bonneville","ID","All Other Crops",220,1,220,23.1,9.5238
"127","JUN",2001,"Frost","Bonneville","ID","All Other Crops",58.2,1,58.2,11.88,4.899
"128","JUL",2001,"Heat","Bonneville","ID","All Other Crops",38.8,1,38.8,7.92,4.899
"129","FEB",2008,"Cold Wet Weather","Boundary","ID","All Other Crops",552,1,552,22,25.0909
"130","JUL",2009,"Cold Wet Weather","Boundary","ID","All Other Crops",129194,1,129194,541.9,238.4093
"131","APR",2012,"Cold Wet Weather","Boundary","ID","All Other Crops",36280,1,36280,169.06,214.5984
"132","MAY",2012,"Cold Wet Weather","Boundary","ID","All Other Crops",348.6,1,348.6,16.653,20.9332
"133","DEC",2004,"Cold Winter","Boundary","ID","All Other Crops",921.6,1,921.6,60,15.36
"134","JAN",2008,"Cold Winter","Boundary","ID","All Other Crops",1449.91,1,1449.91,57.82,25.0763
"135","APR",2014,"Cold Winter","Boundary","ID","All Other Crops",472,1,472,17.62,26.7877
"136","AUG",2009,"Decline in Price","Boundary","ID","All Other Crops",357792,1,357792,1957.54,182.7763
"137","JUL",2009,"Decline in Price","Boundary","ID","All Other Crops",135220.5,1,135220.5,406.75,332.4413
"138","SEP",2009,"Decline in Price","Boundary","ID","All Other Crops",202913.5,1,202913.5,771.75,262.9265
"139","SEP",2011,"Decline in Price","Boundary","ID","All Other Crops",33628,1,33628,298.3,112.7321
"140","SEP",2013,"Decline in Price","Boundary","ID","All Other Crops",30975,1,30975,770.4,40.2064
"141","SEP",2014,"Decline in Price","Boundary","ID","All Other Crops",1412.7,1,1412.7,21.759,64.9249
"142","JUN",2001,"Drought","Boundary","ID","All Other Crops",548,1,548,48.02,11.4119
"143","SEP",2003,"Drought","Boundary","ID","All Other Crops",339,1,339,62.99,5.3818
"144","OCT",2004,"Drought","Boundary","ID","All Other Crops",1382.4,1,1382.4,90,15.36
"145","JUL",2007,"Drought","Boundary","ID","All Other Crops",540,1,540,151.9,3.555
"146","MAY",2009,"Drought","Boundary","ID","All Other Crops",164692,1,164692,611.7,269.2366
"147","MAY",2014,"Drought","Boundary","ID","All Other Crops",3296.3,1,3296.3,50.771,64.9249
"148","JUN",2015,"Drought","Boundary","ID","All Other Crops",53070,2,26535,693.25,76.5525
"149","AUG",2012,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",96810,1,96810,426.94,226.7532
"150","JUN",2012,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",54966.5,1,54966.5,393.9,139.5443
"151","MAY",2012,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",61890.5,2,30945.25,420.9,147.0432
"152","DEC",2013,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",1966,1,1966,58.5,33.6068
"153","AUG",2014,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",31802,2,15901,318.11,99.9717
"154","MAY",2014,"Excess Moisture/Precip/Rain","Boundary","ID","All Other Crops",66718,2,33359,553.67,120.5014
"155","JUL",2012,"Flood","Boundary","ID","All Other Crops",66783,2,33391.5,482.3,138.4678
"156","JUN",2012,"Flood","Boundary","ID","All Other Crops",46406,1,46406,799.1,58.0728
"157","MAR",2014,"Flood","Boundary","ID","All Other Crops",11937.6,1,11937.6,39.78,300.0905
"158","SEP",2014,"Flood","Boundary","ID","All Other Crops",7958.4,1,7958.4,26.52,300.0905
"159","JAN",2008,"Freeze","Boundary","ID","All Other Crops",1509.09,1,1509.09,60.18,25.0763
"160","APR",2013,"Freeze","Boundary","ID","All Other Crops",12064,1,12064,364.8,33.0702
"161","JUL",2012,"Heat","Boundary","ID","All Other Crops",149.4,1,149.4,7.137,20.9332
"162","AUG",2015,"Heat","Boundary","ID","All Other Crops",20203,1,20203,182.5,110.7014
"163","JUL",2015,"Heat","Boundary","ID","All Other Crops",20203,1,20203,182.5,110.7014
"164","JUN",2013,"Freeze","Butte","ID","All Other Crops",8470,1,8470,67.2,126.0417
"165","JUN",2013,"Frost","Butte","ID","All Other Crops",8470,1,8470,67.2,126.0417
"166","APR",2012,"Cold Wet Weather","Camas","ID","All Other Crops",1739,1,1739,80,21.7375
"167","DEC",2014,"Cold Winter","Camas","ID","All Other Crops",5890.8,1,5890.8,127.8,46.0939
"168","JAN",2014,"Cold Winter","Camas","ID","All Other Crops",3927.2,1,3927.2,85.2,46.0939
"169","SEP",2013,"Decline in Price","Camas","ID","All Other Crops",2062.4,2,1031.2,44.64,46.2007
"170","JUL",2001,"Drought","Camas","ID","All Other Crops",709,1,709,144.2,4.9168
"171","SEP",2002,"Drought","Camas","ID","All Other Crops",899,1,899,180.7,4.9751
"172","AUG",2012,"Drought","Camas","ID","All Other Crops",3061.2,1,3061.2,32,95.6625
"173","JUL",2013,"Drought","Camas","ID","All Other Crops",10633.6,3,3544.53333333333,393.76,27.0053
"174","MAY",2013,"Drought","Camas","ID","All Other Crops",4742,1,4742,198.5,23.8892
"175","JUN",2014,"Drought","Camas","ID","All Other Crops",1151,1,1151,31.02,37.1051
"176","MAY",2014,"Drought","Camas","ID","All Other Crops",11699,3,3899.66666666667,435.63,26.8554
"177","OCT",2009,"Excess Moisture/Precip/Rain","Camas","ID","All Other Crops",2137,1,2137,77.1,27.7173
"178","AUG",2014,"Excess Moisture/Precip/Rain","Camas","ID","All Other Crops",2719.5,1,2719.5,57.7,47.1317
"179","APR",2015,"Excess Moisture/Precip/Rain","Camas","ID","All Other Crops",7586,1,7586,62.6,121.1821
"180","JAN",2014,"Failure Irrig Supply","Camas","ID","All Other Crops",7646,1,7646,62.6,122.1406
"181","MAY",2013,"Freeze","Camas","ID","All Other Crops",2304,1,2304,36.025,63.9556
"182","MAY",2012,"Frost","Camas","ID","All Other Crops",4591.8,1,4591.8,48,95.6625
"183","JUN",2014,"Frost","Camas","ID","All Other Crops",5116,1,5116,191.36,26.7349
"184","AUG",2009,"Hail","Camas","ID","All Other Crops",3073,1,3073,39.3,78.1934
"185","AUG",2014,"Hail","Camas","ID","All Other Crops",6680,2,3340,448.33,14.8997
"186","SEP",2014,"Hail","Camas","ID","All Other Crops",1389,1,1389,77.05,18.0273
"187","JUL",2015,"Hail","Camas","ID","All Other Crops",7870,1,7870,124,63.4677
"188","MAY",2015,"Hail","Camas","ID","All Other Crops",1620.5,2,810.25,163.75,9.8962
"189","JUN",2013,"Heat","Camas","ID","All Other Crops",4608,1,4608,72.05,63.9556
"190","JUL",2014,"Heat","Camas","ID","All Other Crops",2719.5,1,2719.5,57.7,47.1317
"191","AUG",2015,"Heat","Camas","ID","All Other Crops",838.5,2,419.25,114.55,7.3199
"192","JUN",2013,"Other Causes","Camas","ID","All Other Crops",2304,1,2304,36.025,63.9556
"193","JUN",2014,"Wildlife","Camas","ID","All Other Crops",981,2,490.5,54.67,17.944
"194","MAY",2002,"Excess Moisture/Precip/Rain","Canyon","ID","All Other Crops",11589,1,11589,26.9,430.8178
"195","APR",2010,"Freeze","Canyon","ID","All Other Crops",70321.6,1,70321.6,23.68,2969.6622
"196","JUN",2003,"Hail","Canyon","ID","All Other Crops",1068,1,1068,20.9,51.1005
"197","MAY",2012,"Hail","Canyon","ID","All Other Crops",10292,1,10292,15.3,672.6797
"198","JUN",2010,"Wildlife","Canyon","ID","All Other Crops",17580.4,1,17580.4,5.92,2969.6622
"199","APR",2014,"Cold Wet Weather","Caribou","ID","All Other Crops",29340,1,29340,175.83,166.8657
"200","JAN",2014,"Cold Winter","Caribou","ID","All Other Crops",5887,1,5887,175.83,33.4812
"201","MAY",2006,"Drought","Caribou","ID","All Other Crops",4786,1,4786,148.2,32.2942
"202","JUN",2008,"Drought","Caribou","ID","All Other Crops",1261,1,1261,75.5,16.702
"203","JUL",2005,"Other (Snow-Lightning-Etc.)","Caribou","ID","All Other Crops",2637,1,2637,89.6,29.4308
"204","AUG",2015,"Wildlife","Caribou","ID","All Other Crops",7911,1,7911,60,131.85
"205","OCT",2009,"Area Plan Crops Only","Cassia","ID","All Other Crops",682,1,682,360,1.8944
"206","JUL",2013,"Area Plan Crops Only","Cassia","ID","All Other Crops",8945,1,8945,3080,2.9042
"207","JUN",2013,"Area Plan Crops Only","Cassia","ID","All Other Crops",21550,1,21550,5720,3.7675
"208","MAY",2013,"Area Plan Crops Only","Cassia","ID","All Other Crops",4558,1,4558,2200,2.0718
"209","JUL",2005,"Heat","Cassia","ID","All Other Crops",66015,2,33007.5,140.4,470.1923
"210","JUL",2011,"Heat","Cassia","ID","All Other Crops",26138,1,26138,128,204.2031
"211","APR",2011,"Cold Wet Weather","Clark","ID","All Other Crops",8344.5,2,4172.25,38.25,218.1569
"212","MAY",2011,"Cold Wet Weather","Clark","ID","All Other Crops",37050.5,3,12350.1666666667,527.95,70.178
"213","APR",2002,"Cold Winter","Clark","ID","All Other Crops",11364,2,5682,303.75,37.4123
"214","FEB",2003,"Cold Winter","Clark","ID","All Other Crops",3985.5,1,3985.5,67.5,59.0444
"215","JAN",2007,"Cold Winter","Clark","ID","All Other Crops",409,1,409,21,19.4762
"216","FEB",2008,"Cold Winter","Clark","ID","All Other Crops",1700,1,1700,67.8,25.0737
"217","SEP",2009,"Decline in Price","Clark","ID","All Other Crops",288825.2,2,144412.6,1075.9,268.4499
"218","SEP",2012,"Decline in Price","Clark","ID","All Other Crops",1388.8,1,1388.8,4.046,343.2526
"219","SEP",2015,"Decline in Price","Clark","ID","All Other Crops",1409.3,1,1409.3,4.379,321.8315
"220","JUL",2002,"Drought","Clark","ID","All Other Crops",450.4,1,450.4,15,30.0267
"221","JAN",2003,"Drought","Clark","ID","All Other Crops",9299.5,1,9299.5,157.5,59.0444
"222","MAY",2005,"Excess Moisture/Precip/Rain","Clark","ID","All Other Crops",470,1,470,40,11.75
"223","MAY",2010,"Excess Moisture/Precip/Rain","Clark","ID","All Other Crops",6714,1,6714,51.8,129.6139
"224","AUG",2014,"Excess Moisture/Precip/Rain","Clark","ID","All Other Crops",504882.53,2,252441.265,3000.741,168.2526
"225","JUN",2014,"Failure Irrig Supply","Clark","ID","All Other Crops",49525.6,1,49525.6,258,191.9597
"226","MAY",2014,"Failure Irrig Supply","Clark","ID","All Other Crops",188249,1,188249,505.4,372.4753
"227","MAY",2007,"Freeze","Clark","ID","All Other Crops",14716.4,1,14716.4,162.64,90.4845
"228","MAY",2008,"Freeze","Clark","ID","All Other Crops",55157.9,2,27578.95,632.94,87.1455
"229","MAY",2002,"Frost","Clark","ID","All Other Crops",32006,1,32006,734.8,43.5574
"230","JUL",2013,"Frost","Clark","ID","All Other Crops",62482.2,1,62482.2,270.36,231.1074
"231","JUN",2013,"Frost","Clark","ID","All Other Crops",22369.2,2,11184.6,384,58.2531
"232","AUG",2004,"Hail","Clark","ID","All Other Crops",39898,1,39898,610,65.4066
"233","AUG",2005,"Hail","Clark","ID","All Other Crops",29568,1,29568,276,107.1304
"234","JUL",2005,"Hail","Clark","ID","All Other Crops",41158,1,41158,291.2,141.3393
"235","JUN",2005,"Hail","Clark","ID","All Other Crops",37950,1,37950,425.2,89.2521
"236","AUG",2006,"Hail","Clark","ID","All Other Crops",17393,1,17393,1090.1,15.9554
"237","SEP",2006,"Hail","Clark","ID","All Other Crops",2627,1,2627,274.5,9.5701
"238","JUN",2009,"Hail","Clark","ID","All Other Crops",35145.8,2,17572.9,101.3,346.9477
"239","JUL",2013,"Hail","Clark","ID","All Other Crops",44115.6,1,44115.6,280.24,157.4208
"240","AUG",2014,"Hail","Clark","ID","All Other Crops",72876.87,2,36438.435,384.659,189.4584
"241","MAY",2001,"Heat","Clark","ID","All Other Crops",26521,1,26521,556.7,47.6397
"242","JUL",2002,"Heat","Clark","ID","All Other Crops",16069,1,16069,340.1,47.2479
"243","JUL",2003,"Heat","Clark","ID","All Other Crops",57506.4,1,57506.4,1201.6,47.8582
"244","JUL",2006,"Heat","Clark","ID","All Other Crops",5758,2,2879,114,50.5088
"245","JUN",2007,"Heat","Clark","ID","All Other Crops",24878.6,2,12439.3,490.76,50.694
"246","JUL",2008,"Heat","Clark","ID","All Other Crops",23639.1,2,11819.55,271.26,87.1455
"247","JUL",2002,"Hot Wind","Clark","ID","All Other Crops",112.6,1,112.6,3.75,30.0267
"248","AUG",2010,"Hot Wind","Clark","ID","All Other Crops",1677,1,1677,18.7,89.6791
"249","AUG",2004,"Plant Disease","Clark","ID","All Other Crops",8231,1,8231,230,35.787
"250","JUL",2003,"Wind/Excess Wind","Clark","ID","All Other Crops",14376.6,1,14376.6,300.4,47.8582
"251","MAY",2010,"Wind/Excess Wind","Clark","ID","All Other Crops",525,1,525,35,15
"252","APR",2012,"Wind/Excess Wind","Clark","ID","All Other Crops",1074,1,1074,40,26.85
"253","OCT",2012,"Wind/Excess Wind","Clark","ID","All Other Crops",18451.2,1,18451.2,53.754,343.2526
"254","MAR",2015,"Wind/Excess Wind","Clark","ID","All Other Crops",139520.7,1,139520.7,433.521,321.8315
"255","MAY",2005,"Cold Wet Weather","Clearwater","ID","All Other Crops",19405.2,2,9702.6,305.91,63.4343
"256","JUN",2005,"Drought","Clearwater","ID","All Other Crops",4648,3,1549.33333333333,341.7,13.6026
"257","SEP",2005,"Drought","Clearwater","ID","All Other Crops",1111,1,1111,119.2,9.3205
"258","JUN",2005,"Excess Moisture/Precip/Rain","Clearwater","ID","All Other Crops",1015.8,1,1015.8,48.336,21.0154
"259","MAY",2005,"Excess Moisture/Precip/Rain","Clearwater","ID","All Other Crops",117930.8,5,23586.16,1721.53,68.5035
"260","OCT",2005,"Excess Moisture/Precip/Rain","Clearwater","ID","All Other Crops",153.6,1,153.6,23.154,6.6338
"261","JUL",2005,"Heat","Clearwater","ID","All Other Crops",10212,1,10212,363.41,28.1005
"262","OCT",2005,"Heat","Clearwater","ID","All Other Crops",3960.4,1,3960.4,186.936,21.1859
"263","JUN",2005,"Plant Disease","Clearwater","ID","All Other Crops",4716,2,2358,158.06,29.8368
"264","JUN",2005,"Wind/Excess Wind","Clearwater","ID","All Other Crops",677.2,1,677.2,32.224,21.0154
"265","JUN",2005,"Cold Wet Weather","Custer","ID","All Other Crops",245,1,245,106.4,2.3026
"266","MAY",2002,"Failure Irrig Supply","Custer","ID","All Other Crops",14760,1,14760,100,147.6
"267","JUN",2003,"Failure Irrig Supply","Custer","ID","All Other Crops",9062,1,9062,52.4,172.9389
"268","JUN",2004,"Failure Irrig Supply","Custer","ID","All Other Crops",21532,1,21532,517,41.648
"269","MAY",2004,"Failure Irrig Supply","Custer","ID","All Other Crops",10378,1,10378,60,172.9667
"270","JUN",2005,"Failure Irrig Supply","Custer","ID","All Other Crops",7130,1,7130,60.2,118.4385
"271","AUG",2014,"Flood","Custer","ID","All Other Crops",40218,1,40218,184.1,218.4574
"272","FEB",2010,"Freeze","Custer","ID","All Other Crops",977,1,977,44,22.2045
"273","JUN",2013,"Frost","Custer","ID","All Other Crops",7224.66,1,7224.66,60.894,118.6432
"274","JUN",2014,"Frost","Custer","ID","All Other Crops",10405,2,5202.5,191.9,54.2209
"275","AUG",2006,"Hail","Custer","ID","All Other Crops",11895,1,11895,106.4,111.7951
