"","month","year","damagecause","county","state","commodity","loss"
"144","JAN",2009,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",112999
"145","MAR",2009,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",127174
"146","MAR",2010,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",234699
"206","DEC",2010,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE",34120
"207","JUN",2001,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE",220104
"208","MAR",2010,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE",73018
"209","APR",2002,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",58932
"210","SEP",2002,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",77841
"211","APR",2003,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",86866.4
"212","FEB",2003,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",51802
"213","APR",2008,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",47997
"214","MAY",2010,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1278672
"215","JUN",2010,"Hail","Douglas","WA","ADJUSTED GROSS REVENUE",79385
"216","AUG",2001,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE",16430
"217","APR",2003,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE",21716.6
"218","AUG",2001,"Insects","Douglas","WA","ADJUSTED GROSS REVENUE",24645
"221","FEB",2008,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",50453
"222","AUG",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",31633
"223","JUL",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",70646
"224","APR",2002,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",41793.8
"227","JUN",2006,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",98042
"228","MAY",2009,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",45179
"229","APR",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",3344
"230","DEC",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",59300.1
"231","JAN",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",238737.95
"232","OCT",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",39155.9
"233","SEP",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",138717.5
"234","APR",2011,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",73198.5
"235","NOV",2013,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",42620.8
"236","MAR",2003,"Cold Winter","Franklin","WA","ADJUSTED GROSS REVENUE",65565
"237","DEC",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1187844.2
"238","JUN",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",447231
"239","OCT",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",604576
"240","MAY",2002,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",82031.4
"241","AUG",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",159916.5
"242","JUL",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",424694
"243","MAY",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",7244
"244","JAN",2010,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",202823.45
"245","JUN",2010,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",66285
"246","JAN",2012,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",252092.4
"247","NOV",2012,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",56367
"248","AUG",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",141548
"249","FEB",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1785380
"250","JAN",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",184798
"251","OCT",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",331377
"252","FEB",2002,"Drought","Franklin","WA","ADJUSTED GROSS REVENUE",9259
"253","MAR",2003,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",104845
"255","JUN",2006,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",219203
"256","JUL",2010,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",136676.4
"257","MAY",2010,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",47487.6
"258","DEC",2012,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",16317.2
"259","JAN",2012,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",54019.8
"260","NOV",2013,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",10655.2
"261","OCT",2001,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",596468
"262","APR",2002,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",577484.8
"265","MAY",2007,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",26261.4
"266","APR",2008,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",73423
"267","APR",2011,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",56101
"268","FEB",2011,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",464138.5
"269","APR",2001,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",41375.4
"270","APR",2002,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",7319.6
"271","MAY",2002,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",54687.6
"272","APR",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",103733
"273","FEB",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",541902
"274","MAY",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",65196
"277","JUL",2006,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",105999
"278","APR",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",136936.4
"279","MAR",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",47646.24
"280","MAY",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",17507.6
"281","APR",2008,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",11822
"282","APR",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",32446
"283","FEB",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",89685.25
"284","MAR",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",16387.32
"285","MAR",2010,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",45815.4
"286","SEP",2010,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",138717.5
"287","FEB",2011,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",52327
"288","DEC",2012,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",24475.8
"289","MAR",2013,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",165050.9
"290","JUN",2001,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",27583.6
"291","JUL",2002,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",683621.4
"292","JUN",2002,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",747652.2
"294","MAR",2008,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",27181
"295","JUN",2009,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",781484
"296","MAR",2013,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",70736.1
"297","JUL",2001,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",28279.8
"298","AUG",2003,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",479749.5
"301","SEP",2014,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",331377
"303","MAR",2007,"Hot Wind","Franklin","WA","ADJUSTED GROSS REVENUE",45777.76
"306","OCT",2006,"Other (Snow-Lightning-Etc.)","Franklin","WA","ADJUSTED GROSS REVENUE",132926
"309","JAN",2006,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",18264
"310","JUL",2007,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",5721.6
"311","APR",2008,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",21885
"312","MAR",2008,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",88495
"313","FEB",2009,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",269055.75
"314","JUN",2009,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",246227
"315","APR",2002,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",72835.2
"316","MAR",2009,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",15744.68
"317","JUL",2010,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",91117.6
"318","MAY",2010,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",54709.6
"319","JAN",2012,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",54019.8
"320","MAY",2002,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",37726
"321","APR",2003,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",8237.4
"322","MAY",2003,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",64370
"324","JUN",2006,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",443817
"325","APR",2009,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",435422
"326","APR",2010,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",229997.4
"327","JUL",2010,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",74790.6
"328","FEB",2013,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",797
"329","NOV",2014,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",52365.22
"330","APR",2001,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",41693
"331","OCT",2001,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",147435
"332","SEP",2002,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",322262.25
"333","DEC",2003,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",171714
"334","OCT",2003,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",713428
"335","JUL",2012,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1637163
"336","AUG",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",98703
"337","DEC",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",293844.6
"338","FEB",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",9595577.18
"339","JAN",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",2889316
"340","JUL",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1703925.8
"341","NOV",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",255644
"342","OCT",2014,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",892064.6
"343","DEC",2001,"Drought","Grant","WA","ADJUSTED GROSS REVENUE",68496
"344","JUL",2010,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",39050.2
"345","MAY",2010,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",131386.8
"346","MAY",2013,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",13233.5
"347","OCT",2014,"Excess Moisture/Precip/Rain","Grant","WA","ADJUSTED GROSS REVENUE",382313.4
"348","JUL",2014,"Fire","Grant","WA","ADJUSTED GROSS REVENUE",9973.2
"349","APR",2003,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",16262.2
"350","OCT",2010,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",47825
"351","MAR",2011,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",179174
"352","SEP",2011,"Freeze","Grant","WA","ADJUSTED GROSS REVENUE",55801
"353","MAY",2002,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",228406.75
"354","APR",2003,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",76007.4
"356","APR",2006,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",1434.8
"357","NOV",2007,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",115706
"358","APR",2008,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",58964
"359","MAR",2008,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",48761.1
"360","APR",2009,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",716873.6
"361","OCT",2009,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",176272.2
"362","JUL",2010,"Frost","Grant","WA","ADJUSTED GROSS REVENUE",16735.8
"363","JUN",2001,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",459360
"366","JUN",2006,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",142388
"367","JUN",2009,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",380683
"368","JUL",2012,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",770790
"369","JUN",2012,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",263979
"370","MAY",2013,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",52696.5
"371","MAY",2014,"Hail","Grant","WA","ADJUSTED GROSS REVENUE",338378
"372","JUL",2002,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",20314
"373","AUG",2003,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",1419353
"375","JUL",2007,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",157812
"376","OCT",2009,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",148472.8
"377","APR",2010,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",82884
"378","JUL",2010,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",49860.4
"379","FEB",2013,"Heat","Grant","WA","ADJUSTED GROSS REVENUE",797
"381","JUN",2012,"Hot Wind","Grant","WA","ADJUSTED GROSS REVENUE",331043
"384","APR",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",12941
"385","DEC",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",764698
"386","JUN",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",230240
"387","MAR",2008,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",509961.9
"388","APR",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",285135.4
"389","FEB",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",68302
"390","OCT",2009,"Other Causes","Grant","WA","ADJUSTED GROSS REVENUE",450564
"392","APR",2006,"Wildlife","Grant","WA","ADJUSTED GROSS REVENUE",2152.2
"393","SEP",2002,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",33991
"394","APR",2010,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",108208.2
"395","MAY",2010,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",70447.6
"396","JUN",2012,"Wind/Excess Wind","Grant","WA","ADJUSTED GROSS REVENUE",360374
"504","MAR",2002,"Drought","Walla Walla","WA","ADJUSTED GROSS REVENUE",30662
"505","JAN",2006,"Excess Moisture/Precip/Rain","Walla Walla","WA","ADJUSTED GROSS REVENUE",58748
"690","JUN",2006,"Excess Moisture/Precip/Rain","Umatilla","OR","ADJUSTED GROSS REVENUE-LITE",4557
"691","JAN",2010,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",162154.2
"692","APR",2011,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",4753
"693","NOV",2011,"Cold Wet Weather","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",71892
"694","JUN",2014,"Decline in Price","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",204602
"695","JAN",2010,"Excess Moisture/Precip/Rain","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",94098.8
"696","MAR",2011,"Freeze","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",50487
"697","JUL",2009,"Other Causes","Wasco","OR","ADJUSTED GROSS REVENUE-LITE",860626
"707","OCT",2007,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",22521
"708","MAR",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",5249
"709","MAY",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",3548.4
"710","MAY",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE-LITE",241.5
"711","DEC",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE-LITE",45763
"712","JUN",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE-LITE",39648
"713","APR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",10327
"714","MAR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",27646
"715","APR",2008,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",289685
"716","MAY",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",241.5
"717","OCT",2013,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE-LITE",16936
"718","APR",2008,"Frost","Benton","WA","ADJUSTED GROSS REVENUE-LITE",1599
"719","JUN",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE-LITE",198090
"720","MAY",2010,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE-LITE",2365.6
"768","JUN",2009,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",223043
"769","APR",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",4653
"770","JUN",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",7307.37
"771","MAY",2010,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",21001
"772","JUN",2011,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",17468
"773","JUN",2014,"Cold Wet Weather","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",10146.95
"774","NOV",2010,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",105540.88
"775","FEB",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",265672
"776","JAN",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",140
"777","JUL",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",54949
"778","MAR",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",192792.05
"779","OCT",2014,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",108171
"780","MAY",2010,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",44274.12
"781","SEP",2013,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",3602.4
"782","APR",2007,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",557
"783","JUL",2011,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",19778
"784","JUN",2011,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",120276
"785","JUL",2013,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",14556
"786","JUN",2013,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",21742
"787","MAY",2010,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE-LITE",20780
